Study,Equipment,Component,EmissionsKgD
Allen2013,NR,PC,15.90997565
Allen2013,NR,PC,6.415176416
Allen2013,NR,PC,5.99450911
Allen2013,NR,PC,0.847120168
Allen2013,NR,PC,0.185307537
Allen2013,NR,PC,23.11049707
Allen2013,NR,PC,10.24485953
Allen2013,NR,PC,27.34609791
Allen2013,NR,PC,1.641295325
Allen2013,NR,PC,1.11184522
Allen2013,NR,PC,1.985437893
Allen2013,NR,PC,22.66475948
Allen2013,NR,PC,32.60745484
Allen2013,NR,PC,7.488416302
Allen2013,NR,PC,9.327676446
Allen2013,NR,PC,0
Allen2013,NR,PC,3.36321855
Allen2013,NR,PC,10.21142282
Allen2013,NR,PC,6.425341439
Allen2013,NR,PC,6.378211795
Allen2013,NR,PC,0.565555726
Allen2013,NR,PC,11.59389238
Allen2013,NR,PC,1.11540157
Allen2013,NR,PC,4.760094024
Allen2013,NR,PC,0
Allen2013,NR,PC,11.79812083
Allen2013,NR,PC,20.43924477
Allen2013,NR,PC,12.4597212
Allen2013,NR,PC,0.291610496
Allen2013,NR,PC,0.265100451
Allen2013,NR,PC,11.53186962
Allen2013,NR,PC,29.12305844
Allen2013,NR,PC,35.75033647
Allen2013,NR,PC,18.58806269
Allen2013,NR,PC,9.320434841
Allen2013,NR,PC,3.617279244
Allen2013,NR,PC,5.254296128
Allen2013,NR,PC,0.60886762
Allen2013,NR,PC,2.804204421
Allen2013,NR,PC,1.455987788
Allen2013,NR,PC,0.60886762
Allen2013,NR,PC,8.361259558
Allen2013,NR,PC,4.447420628
Allen2013,NR,PC,5.213538601
Allen2013,NR,PC,2.075760739
Allen2013,NR,PC,3.85281512
Allen2013,NR,PC,2.797249333
Allen2013,NR,PC,3.509756239
Allen2013,NR,PC,9.162222529
Allen2013,NR,PC,1.429515283
Allen2013,NR,PC,1.661522687
Allen2013,NR,PC,11.46259477
Allen2013,NR,PC,14.24220782
Allen2013,NR,PC,14.48385193
Allen2013,NR,PC,13.85443178
Allen2013,NR,PC,0
Allen2013,NR,PC,0.393984467
Allen2013,NR,PC,5.506767451
Allen2013,NR,PC,0.052949687
Allen2013,NR,PC,14.28151592
Allen2013,NR,PC,58.36693949
Allen2013,NR,PC,24.38117732
Allen2013,NR,PC,6.482357316
Allen2013,NR,PC,0.387843111
Allen2013,NR,PC,3.962959291
Allen2013,NR,PC,4.63796884
Allen2013,NR,PC,0.870980064
Allen2013,NR,PC,0.261294019
Allen2013,NR,PC,8.469419636
