O/G,n_VENT,TB_VRU,TB_VENT,TB_FLARE,TB_DUMP,n_DUMP
Oil,108,,0.014459665,,,0
Oil,0,,,,,0
Oil,20,,0.516879781,,,0
Oil,0,,,0.313111546,,0
Gas,1,,0.510684932,,,0
Gas,1,,1.613972603,,,0
Gas,2,,3.022465753,,,0
Gas,1,,0.24,,,0
Gas,1,,0.510684932,,,0
Gas,1,,1.01890411,,,0
Gas,1,,1.28,,,0
Gas,1,,0.675342466,,,0
Gas,2,,5.479452055,,,0
Gas,9,,0.802901065,,,0
Gas,6,,0.616091324,,,0
Gas,18,,0.412857976,,,0
Gas,0,,,,,0
Gas,2,,124.6079308,,,0
Gas,32,,6.040239726,,,0
Gas,11,,1.09186274,0.013491397,,0
Gas,4,,1.434300479,,,0
Gas,1,,2.158099178,,,0
Gas,2,,26.30136986,,,0
Gas,2,,8.465753425,,,0
Gas,8,,0.03538911,,,0
Gas,3,,1.005744292,,,0
Gas,8,,2.294520548,,,0
Gas,3,,1.747817352,,,0
Gas,6,,0.61914242,,,0
Gas,0,,,1.044520548,,0
Gas,7,,0.125244618,,,0
Gas,0,,,0.039239726,,0
Gas,0,,,0.430528376,,0
Gas,0,,,0.20890411,,0
Gas,4,,0.047945205,,,0
Gas,6,0,0.0456621,,,0
Gas,2,,6.799214384,0.225851233,,0
Gas,11,,1.737795766,,,0
Gas,27,,21.10603754,0.118306351,,0
Gas,4,,0.639041096,,,0
Gas,4,,0.767123288,,,0
Gas,4,,0.020547945,,,0
Gas,0,,,0.136986301,,0
Gas,0,,,0.317808219,,0
Gas,1,,13.09589041,,,0
Gas,0,,,0.022836269,,0
Gas,10,,5.575342466,,,0
Gas,0,,,0,,0
Gas,0,,,0.226027397,,0
Gas,2,,2.406575342,,,0
Gas,2,,7.580822135,,,0
Gas,2,,2.273448767,,,0
Gas,9,,0.224088128,,,0
Gas,0,,,0.084657534,,0
Gas,0,,,0.003271507,,0
Gas,1,,237.0778745,,,0
Gas,9,,0.165883105,,,0
Gas,69,,0.00592216,,,0
Gas,17,0,5.757573344,0.000842192,,0
Gas,3,,7.504109611,,,0
Gas,55,,0.490229709,,,0
Gas,42,,1.148075669,0.02475656,,0
Gas,3,,0.592443014,,,0
Gas,0,,,0.008957484,,0
Gas,3,,0.692237443,0.066890409,,0
Gas,0,,,0.032800137,,0
Gas,2,,1.099178082,,,0
Gas,27,,0.308641573,,,0
Gas,0,,,0.139726027,,0
Gas,36,,0.139650129,0.027317557,,0
Gas,1,,3.561643836,,,0
Gas,1,,0.544021918,0.004556918,,0
Gas,0,,,0,,0
Gas,2,,0.605400274,,,0
Gas,23,,3.224340631,,,0
Gas,1326,,0.000762944,,,0
Gas,1,,17.17808219,0.607721046,,0
Gas,5,,0.649205479,,,0
Gas,4,,0.006849315,,,0
Gas,4,,0.794976301,,,0
Gas,3,,0.073059361,,,0
Gas,0,,,0,,0
Gas,2,,2.397260274,,,0
Gas,2,,0.02739726,,,0
Gas,4,,1.356986301,,,0
Gas,10,,2.238356164,0.023972603,,0
Gas,0,,,0,,0
Gas,0,,,0.123835616,,0
Gas,2,,0,,,0
Gas,6,,1.446710776,,,0
Gas,0,,,0.011506849,,0
Gas,3,,3.4819379,,,0
Gas,21,,2.291621957,,,0
Gas,0,,,0.072054795,,0
Gas,3,,1.551458265,,,0
Gas,0,,,0.077159817,,0
Gas,21,,2.909328115,0.273972603,,0
Gas,16,,1.154109589,,,0
Oil,78,,0.18510713,,,0
Gas,0,0,,0.013369863,,0
Gas,2,,0.684931507,,,0
Gas,5,,0.657534247,,,0
Gas,8,,0.070747534,,,0
Gas,2,,3.510616438,,,0
Gas,3,0,2.322812785,0.046869863,,0
Gas,0,0,,0.136541096,,0
Gas,8,,0.879789623,,,0
Gas,0,,,,,0
Gas,0,,,0.026681018,,0
Gas,0,,,,,0
Gas,0,,,0.084574151,,0
Gas,11,0.018894662,0.149439601,0.004089143,,0
Gas,0,0.23630137,,0.798434442,,0
Gas,0,,,,,0
Gas,79,,0.001141574,,,0
Gas,4,,7.899965822,,,0
Gas,2,0,0.821917808,0,,0
Gas,10,,0.683937151,,,0
Gas,0,0,,,,0
Oil,0,,,0.210045662,,0
Oil,162,,0.103838999,,,0
Oil,5,,0.02739726,,,0
Oil,880,,0.100996264,,,0
Oil,0,,,0,,0
Oil,5,,1.142586466,,,0
Oil,74,0.067819041,0.863285302,0.007754658,,0
Oil,10,,8.109589041,0,,0
Oil,10,,0.17260274,,,0
Oil,9,,8.097412481,0.136986301,,0
Oil,1,,2.739726027,,,0
Oil,4,,3.21632089,,,0
Oil,1,,0.136986301,,,0
Oil,1,,0.705433425,,,0
Oil,0,,,0,,0
Oil,0,,,0.169861796,,0
Oil,2,,0.893150685,,,0
Oil,22,,10.77833126,0.214611872,,0
Oil,354,,0.088925006,,,0
Oil,1,,0.02739726,,,0
Oil,0,,,0.019585845,,0
Oil,8,,0.167667158,0.02136621,,0
Oil,0,,,0.273972603,,0
Oil,2,,0.657534247,,,0
Oil,3,,0.01826484,,,0
Oil,4,,0.589488836,,,0
Gas,3,,0.365296804,,,0
Gas,0,,,,,0
Oil,328,,2.731934263,0.140345075,,0
Oil,0,,,0.016278481,,0
Oil,4,,1.700089041,0.00960274,,0
Oil,154,,0.0001481,0.000153368,,0
Oil,62,,0.579265479,0.042407441,,0
Oil,111,,2.499061829,0.06169863,,0
Oil,0,,,0.010744182,,0
Oil,45,,0.122996798,0.003876168,,0
Oil,31,,0.989986743,0.005222603,,0
Oil,6,,0.000181689,0.000152945,,0
Oil,3,,3.287671233,0.02739726,,0
Oil,187,,0.336033312,0.021908704,,0
Oil,8,,2.205701815,0.019041096,,0
Gas,4,,0.006849315,,,0
Oil,8,,0.312291096,,,0
Oil,15,,0.190940639,,,0
Oil,7,,0.474610568,,,0
Oil,8,,0.392328767,,,0
Oil,3,,2.052110502,,,0
Oil,3,,5.064432329,,,0
Oil,75,,0.674242557,0.027754804,,0
Oil,0,,,0.136986301,,0
Oil,41,,3.041630905,0.040621482,,0
Oil,133,,2.784590747,0.061966224,,0
Oil,3,0.029038988,25.35215525,0.02728761,,0
Oil,3,,8.949771689,0.039138943,,0
Oil,88,,3.702138615,,,0
Oil,153,,1.90893855,,,0
Oil,352,,0.309080713,0.01686713,,0
Oil,5,,5.369863014,0.057077626,,0
Oil,325,,1.116652621,0.700272611,,0
Oil,458,,1.935155829,,,0
Oil,2,,6.938366438,,,0
Oil,2,,0.065013699,,,0
Oil,0,,,0.012465753,,0
Oil,2,,0.547945205,,,0
Gas,2,,3.932705753,,,0
Gas,0,,,0.356934892,,0
Gas,6,,4.383484795,,,0
Gas,3,,0.048051781,,,0
Gas,4,,8.570412808,,,0
Gas,1,,0.493150685,,,0
Gas,3,,1.485748676,,,0
Gas,0,,,0.041945205,,0
Gas,0,,,0.546608798,,0
Gas,308,,0.173137342,0.335851272,,0
Gas,1,,20.2739726,0.101471334,,0
Gas,5,,0.328767123,0,,0
Oil,0,,,0.006057839,,0
Oil,2,,0.476650137,,,0
Oil,0,,,0,,0
Oil,0,,,0.006298326,,0
Oil,34,,1.555197421,0.019470134,,0
Oil,0,0,,0,,0
Gas,2,,0.094109589,,,0
Gas,40,,2.999217075,0.001263692,,0
Gas,0,,,0.032176125,,0
Gas,0,,,0,,0
Gas,0,,,0.035753425,,0
Gas,0,,,0.088493151,,0
Gas,3,,0.139826484,,,0
Gas,1,,0.423972603,,,0
Gas,4,,0.645869863,,,0
Gas,0,0,,0.040891433,,0
Gas,0,0,,0.0478,,0
Gas,1,,0.010082192,0.289452055,,0
Gas,1,,9.785780822,,,0
Gas,57,,0.377351598,,,0
Gas,0,,,7.76016E-05,,0
Gas,0,,,0.015252103,,0
Gas,1,,0.019789589,0.082606233,,0
Gas,13,,0.757724636,0.023440145,,0
Gas,0,,,0,,0
Gas,0,,,0,,0
Gas,1,,120.1223836,,,0
Gas,0,,,0.132890411,,0
Gas,11,,0.290259029,0.080767123,,0
Gas,25,,0.17955223,0.015808082,,0
Gas,0,,,0.006316122,,0
Gas,89,,0.393303562,0.007212315,,0
Gas,4,,0.463780822,,,0
Gas,22,,4.206084907,0.000318569,,0
Gas,0,,,0.00017347,,0
Gas,0,,,0.003636986,,0
Gas,13,,3.317431359,0.073005262,,0
Gas,27,,0.427274338,0.001716208,,0
Gas,1,,0.002794521,0.075406393,,0
Gas,3,,0.560940639,,,0
Gas,1,,0.054546301,,,0
Gas,1,,8.993741644,5.68156E-05,,0
Gas,228,,5.72436439,0.001634594,,0
Gas,3,,0.165452055,,,0
Gas,2,,0.901,,,0
Gas,25,,0.630794521,0.04597975,,0
Gas,0,,,0,,0
Gas,0,,,0.11741683,,0
Gas,16,,2.723145548,0.121384069,,0
Gas,3,,0.515899543,,,0
Gas,27,,1.958853374,,,0
Gas,4,,0.06369863,,,0
Gas,0,,,0.017912329,,0
Gas,0,,,0.02739726,,0
Gas,21,0,1.409001957,0.073648549,,0
Gas,39,0,1.389076923,0.230556697,,0
Gas,0,0,,,,0
Gas,0,,,1.280432588,,0
Gas,0,,,11.97150685,,0
Gas,12,,2.646118721,,,0
Gas,12,,39.71320685,,,0
Gas,10,,0.323013699,0.01260274,,0
Gas,3,,0.182648402,,,0
