O/G,n_VENT,TB_SMALL_VENT,TB_SMALL_FLARE
Oil,30,0.339726027,
Gas,21,1.587736464,
Gas,36,0.386630137,
Oil,126,0.084164384,
Oil,96,0.727232877,
Oil,632,0.027266863,
Oil,156,0.001416228,
Oil,6,1.325589041,
Oil,154,0.00143462,
Oil,4,1.712219178,
Oil,70,0.012624658,
Oil,194,0.006832933,
Oil,24,12.25249315,
Oil,3426,6.44867E-05,
Oil,2,96.89950685,
Gas,83,0.022308632,
Gas,7,0.094684932,
Oil,5,13.5168,
Gas,192,0.048219178,
Gas,4,15.27583562,
Gas,98,0.122811294,
Gas,13,6.053361433,
Gas,70,0.034717808,
Gas,12,0.073643836,
Gas,4,0.110465753,
Gas,2,0.33139726,
Oil,3,0.220931507,
Gas,3,0.294575342,
Gas,4,0.16569863,
Gas,3,0.073643836,
Oil,2,0.441863014,
Gas,3,1.988383562,
Gas,31,0.035634114,
Gas,6,0.780273973,
Gas,19,0.05813987,
Gas,6,1.111671233,
Gas,31,0.007126823,
Gas,1,1.546520548,
Gas,6,0.073643836,
Gas,2,0.33139726,
Gas,2,1.215123288,
Gas,10,0.066279452,
Gas,3,2.35660274,
Gas,30,0.030860274,
Gas,1,3.356054795,
Gas,13,0.016994731,
Gas,1,0.220931507,
Gas,1,13.91868493,
Gas,65,0.016994731,
Gas,8,0.994191781,
Gas,35,0.025249315,
Oil,0,,
Gas,3,3.145643836,
Gas,7,0.063123288,
Oil,0,,
Gas,3,0.073643836,
Oil,1,1.851616438,
Gas,4,2.264383562,
Oil,7,0.631232877,
Gas,1,0.220931507,
Gas,1,1.546520548,
Oil,14,0.015780822,
Oil,2,0.220931507,
Oil,4,0.607561644,
Oil,22,0.010042341,
Oil,2,0.552328767,
Gas,5,0.265117808,
Oil,10,0.022093151,
Gas,1,0.220931507,
Oil,1,0.220931507,
Oil,2,0.110465753,
Oil,2,0.552328767,
Oil,1,0.662794521,
Oil,4,0,
Oil,0,,
Oil,0,,
Gas,2,0,
Oil,0,,
Oil,0,,
Oil,6,1.146739726,
Gas,7,0.491459883,
Oil,6,0,
Oil,0,,
Oil,6,0,
Oil,0,,
Oil,26,0.088210748,
Gas,3,1.911232877,
Oil,10,0,
Oil,0,,
Gas,0,,
Gas,0,,
Oil,26,0.543831401,
Gas,6,0.478684932,
Gas,128,0.001726027,
Oil,14,0.110465753,
Gas,2,0.33139726,
Gas,6,0.073643836,
Gas,4,0.33139726,
Gas,12,0.736438356,
Gas,80,0.055232877,
Gas,40,0.022093151,
Gas,2,0.110465753,
Gas,8,0.082849315,
Oil,3,0.220931507,
Oil,5,0.088372603,
Oil,3,4.011835616,
Gas,20,0.397676712,
Oil,2,1.656986301,
Oil,4,2.927342466,
Oil,6,33.2870137,
Oil,60,0.136241096,
Oil,12,0.828493151,
Oil,8,3.424438356,
Oil,15,0.913183562,
Oil,1,2.430246575,
Oil,2,32.03506849,
Oil,33,0.294575342,
Oil,2,4.750027397,
Oil,4,0.773260274,
Oil,6,4.050410959,
Oil,43,0.652518637,
Oil,3,3.682191781,
Oil,8,0.469479452,
Oil,3,1.251945205,
Oil,2,0,
Oil,2,0.220931507,
Oil,2,0,
Oil,2,0.441863014,
Oil,6,0,
Oil,2,0.110465753,
Oil,2,1.656986301,
Oil,10,0.33139726,
Gas,20,0,
Oil,2,0.33139726,
Oil,3,0.957369863,
Oil,8,0.938958904,
Gas,31,0.014253646,
Gas,0,,
Oil,0,,
Gas,48,0.018410959,
Oil,6,0.073643836,
Gas,2,0.662794521,
Oil,4,0,
Oil,0,,
Oil,1,0,
Oil,2,2.651178082,
Oil,27,0.20456621,
Gas,35,0.334553425,
Oil,63,0.063123288,
Gas,5,2.606991781,
Oil,32,0,
Oil,0,,
Gas,0,,
Gas,0,,
Gas,68,0,
Gas,0,,
Gas,4,0,
Gas,0,,
Gas,0,,
Gas,9,0,
Gas,0,,
Gas,121,0,
Gas,0,,
Gas,63,0.003506849,
Gas,1,13.25589041,
Gas,60,0,
Gas,0,,
Gas,31,0.092648696,
Gas,13,0,
Gas,0,,
Gas,59,0,
Gas,0,,
Gas,0,,
Gas,6,2.430246575,
Gas,66,0,
Gas,0,,
Gas,0,,
Gas,7,0,
Gas,0,,
Gas,43,0,
Gas,0,,
Gas,0,,
Gas,0,,
Gas,14,0.195694716,
Gas,5,9.424657534,
Gas,51,0.037604083,
Gas,20,0.931506849,
Gas,2,62.02739726,
Gas,179,0.015458789,
Gas,3,2.164383562,
Gas,11,1.405927771,
Gas,210,0.091528767,
Gas,172,0.030827652,
Oil,20,0.276164384,
Oil,70,0.028405479,
Oil,5,2.221939726,
Gas,12,6.09490411,
Gas,88,0.002510585,
Oil,1,50.91945205,
Gas,62,0.657025188,
Gas,48,0.154109589,
Gas,8,0.116438356,
Oil,1,0.931506849,
Gas,1,5.561643836,
Oil,11,0.505603985,
Gas,7,0.266144814,
Oil,2,0.465753425,
Gas,2,9.273972603,
Gas,168,0.022015656,
Gas,8,11.80479452,
Gas,204,2.269137792,
Gas,1000,0.060164384,
Gas,130,0.334668072,
Gas,94,0.197027106,
Gas,40,0.578767123,
Gas,50,0.389041096,
Gas,42,12.12393999,
Gas,1100,0.01011208,
Gas,24,0.617579909,
Gas,32,1.938356164,
Gas,134,0.001648743,
Oil,2,12.96131507,
Gas,43,0.667443135,
Gas,64,0.014465753,
Gas,1,3.703232877,
Gas,4,0.055232877,
Oil,1,3.698630137,
Gas,4,2.547945205,
Gas,16,1.099315068,
Gas,18,0.051750381,
Gas,1,74.05479452,
Gas,102,0.0453935,
Gas,7,0.794520548,
Gas,8,0.054794521,
Oil,4,0.328767123,
Oil,10,0.043835616,
Oil,5,0.043835616,
Oil,3,5.670575342,
Oil,77,0.031561644,
Oil,11,0.060254047,
Oil,3,3.608547945,
Oil,49,0.243475538,
Oil,54,0.028639269,
Oil,7,0.915287671,
Oil,29,0.266641474,
Oil,35,0.012624658,
Oil,2,1.656986301,
Oil,15,0.014728767,
Oil,4,0.441863014,
Oil,18,0.036821918,
Oil,3,3.394630137,
Gas,11,0.140592777,
Oil,7,3.174199609,
Gas,49,0.099193738,
Oil,48,0.019287671,
Gas,2,0.33139726,
Oil,7,0.264516634,
Gas,4,0.16569863,
Oil,3,0.294575342,
Oil,6,0.036821918,
Oil,2,0.110465753,
Oil,3,0.30860274,
Gas,2,2.314520548,
Gas,5,0.370323288,
Gas,2,0.925808219,
Gas,2,0.110465753,
Oil,1,7.406465753,
Gas,10,0.198838356,
Oil,12,0.077150685,
Gas,1,0.220931507,
Oil,2,0.110465753,
Oil,2,3.240328767,
Gas,16,0.013808219,
Oil,2,0.220931507,
Oil,4,0.231452055,
Gas,1,6.480657534,
Gas,11,0.084164384,
Gas,2,0.925808219,
Gas,2,0.110465753,
Oil,2,5.554849315,
Gas,12,6.09490411,
Gas,88,0.002510585,
Oil,1,5.97260274,
Oil,54,0.565702689,
