O/G,TB_SMALL_VENT,TB_SMALL_FLARE
Gas,0.821917808,
Gas,0.273972603,
Oil,43.56164384,
Gas,0.454794521,
Gas,0.016773833,
Gas,0.547945205,
Oil,122.1917808,
Gas,0.019339243,
Oil,1.278538813,
Gas,0.471638149,
Gas,0.822940639,
Gas,4.281872146,
Gas,0.153319955,
Gas,0.097447729,
Gas,3.703013699,
Gas,0.530191781,
Oil,0.038812785,
Gas,0.093150685,
Oil,4.668493151,
Gas,0.129680365,
Gas,10.46821918,
Oil,27.1074261,
Gas,0.010273973,
Oil,0.342465753,
Oil,7.570776256,
Gas,0.007070261,
Gas,11.57260274,
Gas,0.044186301,
Gas,0.063123288,
Oil,0.110465753,
Gas,0.110465753,
Oil,0.552328767,
Gas,0.662794521,
Gas,1.436054795,
Gas,0.023255948,
Oil,0.082849315,
Gas,0.883726027,
Oil,0.662794521,
Gas,0.463956164,
Oil,0.057014582,
Gas,0.020084682,
Gas,0.33139726,
Oil,0.33139726,
Gas,0.883726027,
Oil,0.073643836,
Oil,1.767452055,
Gas,1.767452055,
Oil,1.546520548,
Gas,0.018410959,
Oil,0.662794521,
Gas,0.84690411,
Oil,0.157808219,
Gas,0.662794521,
Oil,0.140592777,
Gas,0.173589041,
Oil,0.489927478,
Gas,0.020083022,
Gas,0.800608828,
Gas,0.184755883,
Gas,0.254253098,
Gas,0.086446414,
Gas,0.143812785,
Gas,0.015812133,
Gas,0.036803653,
Gas,0.898995434,
Gas,0.031624266,
Gas,2.864383562,
Gas,0.373455099,
Gas,0.268327107,
Gas,0.056370204,
Gas,0.023302091,
Gas,0.006708178,
Oil,9.296803653,
Oil,0.05332681,
Oil,1.321917808,
Gas,1.058219178,
Gas,0.702054795,
Gas,0.255227109,
Oil,0.689497717,
Gas,0.461187215,
Gas,1.305936073,
Gas,0.597260274,
Oil,1.212328767,
Gas,0.073059361,
Oil,0.465753425,
Oil,1.589041096,
Oil,0.054794521,
Gas,2.767123288,
Gas,0.99543379,
Gas,0.452054795,
Gas,0.131506849,
Oil,0.310502283,
Gas,0.438356164,
Oil,1.04109589,
Oil,0.621004566,
Gas,0.33139726,
Oil,0.552328767,
Oil,,
Oil,,
Oil,0.034414331,
Oil,0.093570991,
Oil,0.157808219,
Oil,0.034883922,
Oil,4.208745205,
Oil,13.82465753,
Gas,0,
Gas,,
Gas,,
Gas,,
Gas,0,
Gas,,
Gas,,
Gas,0.003452055,
Oil,3.093041096,
Oil,0.036821918,
Oil,0.147287671,
Oil,0.055232877,
Oil,0.231452055,
Gas,5.561643836,
Gas,3.831050228,
Oil,0.155251142,
Gas,3.698630137,
Gas,3.260273973,
Oil,0.004214963,
Oil,0.011572603,
Gas,1.851616438,
Gas,0.011627974,
Oil,0.110465753,
Oil,0.220931507,
Oil,0.810082192,
Gas,0.020084682,
Oil,0.162016438,
Gas,0.185161644,
Gas,0.46290411,
Gas,1.234410959,
Gas,3.571037182,
Gas,0.217824335,
Gas,3.321917808,
Gas,0.020896215,
Gas,0.0124533,
Gas,6.296803653,
Gas,0.012266094,
Gas,0.049491825,
Gas,8.801936438,
Oil,2.380626223,
Gas,0.236827015,
Gas,0.068493151,
Oil,0.023258832,
Gas,4.308219178,
Gas,0.014049877,
Gas,3.205479452,
Oil,0.031050228,
Gas,0.691780822,
Gas,0.465753425,
Oil,0.068493151,
Oil,0.035827187,
Gas,2.767123288,
Gas,0.077625571,
Gas,0.02739726,
Oil,0.465753425,
Gas,0.578767123,
Gas,0.054794521,
Oil,0.232876712,
Gas,0.054794521,
Oil,0.109589041,
Oil,1.543013699,
Gas,0.370668815,
Oil,0.004214963,
Oil,0.547945205,
Oil,0.005591278,
Oil,10.68493151,
Oil,0.003095736,
Oil,0.02283105,
Oil,0.578386606,
Oil,0.088915599,
Gas,7.509567123,
Oil,0.799245576,
Gas,0.053395746,
Gas,0.423096631,
Oil,0.039076321,
Gas,2.106739726,
Oil,0.113702845,
Gas,5.080255708,
Oil,0.237041096,
Gas,0.02630137,
Gas,0.147287671,
Oil,1.07309589,
Gas,0.163819961,
Gas,1.388712329,
Gas,1.146739726,
Oil,1.69030137,
Gas,0.057278539,
Oil,0.526027397,
Gas,1.404493151,
Oil,0.264516634,
Gas,0.026779577,
Oil,0.110465753,
Gas,21.20942466,
Gas,0.796639269,
Oil,0.012070944,
Gas,0.925808219,
Gas,0.518136986,
Gas,0.044186301,
Oil,2.675726027,
Gas,1.235453536,
Gas,0.304799537,
Oil,0.196622326,
Gas,0.006708755,
Gas,0.220931507,
Gas,3.576986301,
Gas,0.027616438,
Oil,0.220931507,
Gas,,
Gas,0.95890411,
Gas,23.15068493,
Gas,0.120232581,
Gas,0.0249066,
Oil,0.205479452,
Gas,0.410958904,
Gas,29.5890411,
Gas,0.125377293,
Gas,3.150684932,
Gas,0.182648402,
Gas,0.039138943,
Oil,4.054794521,
Gas,0.068493151,
Gas,10.80109589,
Gas,0.052903327,
Gas,0,
Gas,,
Gas,0,
Gas,0,
Gas,,
Gas,0,
Gas,,
Gas,0,
Gas,,
Gas,0,
Gas,,
Gas,,
Gas,0,
Gas,,
Gas,,
Gas,,
Gas,0,
Gas,,
Gas,0,
Gas,,
Gas,,
Gas,,
Gas,,
Gas,0,
Gas,,
Gas,,
Gas,10.69822831,
Gas,0.004133072,
Gas,0.220931507,
Oil,0.231452055,
Gas,1.851616438,
Gas,0.578630137,
Gas,0.264516634,
Gas,0.555484932,
Gas,0.810082192,
Gas,0.071216017,
