O/G,N_WELL,N_TANK
Oil,87,368
Oil,2,4
Oil,14,54
Oil,1,4
Oil,29,12
Oil,157,1256
Oil,24,97
Oil,59,328
Oil,336,1997
Oil,12,38
Oil,111,408
Oil,221,1244
Oil,54,86
Oil,485,736
Oil,1,1
Oil,28,114
Oil,151,463
Oil,798,3106
Oil,12,35
Oil,48,192
Oil,283,941
Oil,12,0
Oil,7,18
Oil,15,120
Oil,4,6
Oil,145,432
Oil,24,92
Oil,42,144
Oil,2,0
Oil,58,174
Oil,312,342
Oil,1,2
Oil,2,4
Oil,26,113
Oil,34,63
Oil,69,207
Oil,162,435
Oil,4,12
Oil,29,29
Oil,203,578
Oil,14,112
Oil,7,14
Oil,12,12
Oil,7,6
Oil,8,24
Oil,8,15
Oil,4,11
Oil,90,438
Oil,16,64
Oil,22,66
Oil,3,9
Oil,1,5
Oil,1,2
Oil,1,1
Oil,5,13
Oil,6,36
Oil,4,3
Oil,4,10
Oil,1,3
Oil,3,3
Oil,4,4
Oil,191,542
Oil,3,10
Oil,34,34
Oil,3,0
Oil,6,18
Oil,2,15
Oil,1,2
Oil,1,2
Oil,1,4
Oil,1,2
Oil,1,3
Oil,203,1696
Oil,12,72
Oil,925,3680
Oil,26,94
Oil,8,8
Oil,22,104
Oil,22,110
Oil,428,833
Oil,375,1120
Oil,40,132
Oil,1,2
Oil,231,915
Oil,98,362
Oil,0,97
Oil,36,139
Oil,10,30
Oil,195,660
Oil,21,64
Oil,3,3
Gas,0,0
Gas,65,198
Gas,2,3
Gas,2,8
Gas,0,26
Gas,0,1
Gas,0,0
Gas,1,2
Gas,12,21
Gas,160,19
Gas,8,8
Gas,1,3
Gas,23,23
Gas,1,6
Gas,2,7
Gas,0,103
Gas,39,67
Gas,16,5
Gas,108,92
Gas,1,2
Gas,1,4
Gas,26,48
Gas,6,16
Gas,0,30
Gas,6,4
Gas,2,2
Gas,2,3
Gas,3,22
Gas,3,6
Gas,2,6
Oil,1,2
Oil,10,20
Oil,1,2
Oil,20,40
Oil,107,179
Oil,1,2
Oil,49,86
Oil,1,2
Oil,3,6
Oil,2,2
Oil,88,69
Oil,33,66
Oil,2,1
Oil,75,127
Oil,183,366
Oil,1,2
Oil,12,24
Gas,4,8
Gas,34,60
Gas,191,55
Gas,412,410
Gas,52,124
Gas,412,936
Gas,325,649
Gas,1,278
Gas,155,274
Gas,7,13
Oil,4,21
Oil,11,34
Oil,8,21
Oil,2,3
Oil,5,30
Oil,4,12
Oil,9,30
Oil,16,9
Oil,496,369
Oil,159,95
Oil,9,8
Oil,1,3
Oil,5,2
Oil,296,49
Oil,1240,1377
Oil,10,20
Oil,292,183
Oil,203,85
Oil,70,34
Oil,8,35
Oil,229,98
Oil,6,20
Oil,117,77
Oil,8,11
Oil,2,2
Oil,31,7
Oil,240,78
Oil,1,2
Oil,45,4
Oil,0,323
Oil,951,51
Oil,1,5
Oil,1,2
Oil,1,2
Oil,86,20
Oil,26,7
Oil,4,8
Oil,1,2
Oil,41,47
Oil,10,9
Oil,5,21
Oil,4,12
Oil,70,1
Oil,1,1
Oil,152,51
Oil,100,66
Oil,2,3
Oil,49,55
Oil,18,33
Oil,2,2
Oil,1376,1392
Oil,40,32
Oil,108,183
Oil,35,66
Oil,6,15
Oil,3,8
Oil,1,3
Oil,34,16
Oil,2,2
Oil,15,47
Oil,15,27
Oil,5,4
Oil,20,93
Oil,16,11
Oil,88,183
Oil,30,54
Oil,107,399
Oil,108,317
Oil,4,9
Oil,7,21
Oil,116,289
Oil,26,78
Oil,186,195
Oil,1,4
Oil,139,237
Oil,23,47
Oil,35,103
Oil,3,10
Oil,1,1
Oil,7,9
Oil,4,4
Oil,1,6
Oil,21,23
Oil,13,36
Oil,28,26
Oil,47,39
Oil,182,27
Oil,90,9
Oil,2,2
Oil,2,4
Oil,8,7
Oil,13,25
Oil,6,6
Oil,3,12
Oil,0,70
Oil,6,2
Oil,1,1
Oil,3,2
Oil,1,1
Oil,20,7
Oil,192,2
Oil,1,2
Oil,7,9
Oil,44,7
Oil,72,70
Oil,14,2
Oil,1,3
Oil,0,10
Oil,15,28
Oil,8,19
Oil,2,2
Oil,124,32
Oil,74,72
Oil,102,28
Oil,4,3
Oil,19,16
Oil,278,298
Oil,5,3
Oil,3,10
Oil,32,10
Oil,8,14
Oil,1449,966
Oil,38,45
Oil,14,38
Oil,21,20
Oil,1,2
Oil,8,12
Oil,7,20
Oil,5,1
Oil,12,48
Oil,49,72
Oil,143,269
Oil,8,6
Oil,123,39
Oil,66,55
Oil,40,178
Oil,43,8
Oil,0,255
Oil,57,117
Oil,107,100
Oil,4,4
Oil,4,11
Oil,73,28
Oil,27,5
Oil,1,0
Oil,3,2
Oil,0,1
Oil,123,62
Oil,3,9
Oil,1,1
Oil,2,4
Oil,5,12
Oil,20,8
Oil,6,21
Oil,1,2
Oil,0,3
Oil,11,49
Oil,55,39
Oil,2,2
Oil,131,10
Oil,239,15
Oil,27,8
Oil,2,5
Oil,1519,77
Oil,5,7
Oil,0,3
Oil,4,11
Oil,1,2
Gas,257,5
Gas,48,9
Gas,259,11
Gas,4,13
Gas,41,28
Gas,1,1
Gas,8,2
Oil,4,8
Oil,147,51
Oil,769,63
Oil,1332,62
Oil,2,3
Oil,6,19
Oil,272,119
Oil,214,140
Oil,157,14
Oil,239,100
Oil,1,4
Oil,17,53
Oil,81,42
Oil,62,15
Oil,21,34
Oil,82,69
Oil,1868,224
Oil,66,15
Oil,2,488
Oil,56,13
Oil,648,56
Oil,3,3
Oil,8,7
Oil,2,2
Oil,9,23
Oil,2,4
Oil,8,10
Oil,17,10
Oil,4,12
Oil,3,3
Oil,6,17
Oil,2,4
Oil,32,75
Oil,1,1
Oil,78,13
Oil,0,2
Oil,213,76
Oil,1,2
Oil,0,58
Oil,90,8
Oil,132,23
Oil,2,24
Oil,1,6
Oil,118,34
Oil,4,2
Oil,10,10
Oil,56,43
Oil,0,4
Oil,6,5
Oil,171,69
Oil,1,2
Oil,12,2
Oil,2,2
Oil,1,2
Oil,1,2
Oil,31,51
Oil,4,8
Oil,2,3
Oil,26,6
Oil,450,287
Oil,1,2
Oil,8,34
Oil,2,3
Oil,23,52
Oil,69,11
Oil,1,2
Oil,2,4
Oil,0,112
Oil,2,2
Oil,210,47
Oil,5,13
Oil,3,8
Oil,68,168
Oil,1,2
Oil,1,3
Oil,4,6
Oil,63,24
Oil,9,9
Oil,79,119
Oil,7,14
Oil,1,2
Oil,37,16
Oil,9,26
Oil,1,3
Oil,5,18
Oil,7,14
Oil,1,1
Oil,1,10
Oil,1,1
Oil,4,5
Oil,108,31
Oil,572,14
Oil,152,41
Oil,67,17
Oil,81,23
Oil,220,49
Oil,0,2
Oil,3,8
Oil,24,85
Oil,12,17
Oil,434,100
Oil,55,4
Oil,183,63
Oil,13,18
Oil,651,90
Oil,31,14
Oil,0,144
Oil,27,22
Oil,131,1
Oil,3,3
Oil,59,245
Oil,276,43
Oil,81,32
Oil,2,4
Oil,22,41
Oil,288,284
Oil,36,52
Oil,32,32
Oil,55,108
Oil,39,8
Oil,39,2
Oil,72,26
Oil,144,220
Oil,1,4
Oil,252,380
Oil,4,13
Oil,52,128
Oil,8,13
Oil,163,318
Oil,5,2
Oil,2678,2271
Oil,15,36
Oil,0,278
Oil,96,122
Oil,13,13
Oil,14,8
Oil,19,5
Oil,82,19
Oil,518,28
Oil,1,2
Oil,5,2
Oil,95,30
Oil,37,31
Oil,10,35
Oil,5,13
Oil,690,70
Oil,407,149
Oil,272,35
Oil,1,1
Oil,14,20
Oil,309,122
Oil,2,6
Oil,71,8
Oil,227,200
Oil,49,27
Oil,66,42
Oil,234,443
Oil,244,318
Oil,14,8
Oil,39,42
Oil,38,46
Oil,98,72
Oil,36,39
Oil,150,12
Oil,12,18
Oil,1,51
Oil,59,88
Oil,2,7
Oil,5,4
Oil,428,263
Oil,1,4
Oil,9,4
Oil,141,19
Oil,4,2
Oil,4,2
Oil,2,6
Oil,1,2
Oil,653,90
Oil,1,2
Oil,54,45
Oil,47,7
Oil,1,3
Oil,357,362
Oil,19,16
Oil,22,18
Oil,7,15
Oil,26,35
