EF_W_FACILITY_OVERVIEW.FACILITY_NAME,EF_W_FACILITY_OVERVIEW.FACILITY_ID,EF_W_FACILITY_OVERVIEW.REPORTING_YEAR,EF_W_FACILITY_OVERVIEW.TABLE_NUM,EF_W_FACILITY_OVERVIEW.TABLE_DESC,EF_W_FACILITY_OVERVIEW.INDUSTRY_SEGMENT,EF_W_FACILITY_OVERVIEW.BASIN_ASSOCIATED_WITH_FACILITY,EF_W_FACILITY_OVERVIEW.GAS_PROD_CAL_YEAR_FROM_WELLS,EF_W_FACILITY_OVERVIEW.GAS_PROD_CAL_YEAR_FOR_SALES,EF_W_FACILITY_OVERVIEW.OIL_PROD_CAL_YEAR_FOR_SALES,EF_W_FACILITY_OVERVIEW.SUB_BASIN_COUNTY,EF_W_FACILITY_OVERVIEW.SUB_BASIN_FORMATION_TYPE,EF_W_FACILITY_OVERVIEW.SUB_BASIN_IDENTIFIER,EF_W_FACILITY_OVERVIEW.GAS_OIL_WELL_RATIO,EF_W_FACILITY_OVERVIEW.WELL_PRODUCING_END_OF_YEAR,EF_W_FACILITY_OVERVIEW.CH4_AVERAGE_MOLE_FRACTION
Hiland Partners Bakken Gathering Plant,1011017,2015,Table AA.3,Natural Gas Processing,Onshore natural gas processing [98.230(a)(3)],,,,,,,,,,.65463
Mont Belvieu Fractionators,1011018,2015,Table AA.3,Natural Gas Processing,Onshore natural gas processing [98.230(a)(3)],,,,,,,,,,.929606
Red Hills Gas Processing Plant,1011064,2015,Table AA.3,Natural Gas Processing,Onshore natural gas processing [98.230(a)(3)],,,,,,,,,,.7778111
Riley Ridge Gas Plant,1011123,2015,Table AA.3,Natural Gas Processing,Onshore natural gas processing [98.230(a)(3)],,,,,,,,,,.013
TARGA SILVER OAK GAS PLANT,1011129,2015,Table AA.3,Natural Gas Processing,Onshore natural gas processing [98.230(a)(3)],,,,,,,,,,.803943
TARGA TUPELO GAS PROCESSING PLANT,1011130,2015,Table AA.3,Natural Gas Processing,Onshore natural gas processing [98.230(a)(3)],,,,,,,,,,.793113
Oak Grove Plant,1011160,2015,Table AA.3,Natural Gas Processing,Onshore natural gas processing [98.230(a)(3)],,,,,,,,,,.8021
EOG Resources  Inc. Shiner Hub,1011210,2015,Table AA.3,Natural Gas Processing,Onshore natural gas processing [98.230(a)(3)],,,,,,,,,,.68076
Kensington Cryogenic Processing Plant,1011274,2015,Table AA.3,Natural Gas Processing,Onshore natural gas processing [98.230(a)(3)],,,,,,,,,,.8074027
Palo Duro Gas Processing Facility,1011278,2015,Table AA.3,Natural Gas Processing,Onshore natural gas processing [98.230(a)(3)],,,,,,,,,,.795359
North Louisiana Gas Plant,1011281,2015,Table AA.3,Natural Gas Processing,Onshore natural gas processing [98.230(a)(3)],,,,,,,,,,.92353
Ridge Amine Plant,1011285,2015,Table AA.3,Natural Gas Processing,Onshore natural gas processing [98.230(a)(3)],,,,,,,,,,.9830333
Alliance Compressor Station,1011298,2015,Table AA.3,Natural Gas Processing,Onshore natural gas processing [98.230(a)(3)],,,,,,,,,,.95385
Bones Springs Plant,1011311,2015,Table AA.3,Natural Gas Processing,Onshore natural gas processing [98.230(a)(3)],,,,,,,,,,.786996
ZIA II GAS PLANT,1011356,2015,Table AA.3,Natural Gas Processing,Onshore natural gas processing [98.230(a)(3)],,,,,,,,,,.7653
Rebel Gas Plant,1011365,2015,Table AA.3,Natural Gas Processing,Onshore natural gas processing [98.230(a)(3)],,,,,,,,,,.7479732
Rose Valley Gas Plant,1011452,2015,Table AA.3,Natural Gas Processing,Onshore natural gas processing [98.230(a)(3)],,,,,,,,,,.878688
TARGA EDWARD GAS PROCESSING PLANT,1011459,2015,Table AA.3,Natural Gas Processing,Onshore natural gas processing [98.230(a)(3)],,,,,,,,,,.744243
Natrium Extraction and Fractionation Facility,1011497,2015,Table AA.3,Natural Gas Processing,Onshore natural gas processing [98.230(a)(3)],,,,,,,,,,.7967
Targa Gas Processing LLC - Longhorn Gas Plant,1011504,2015,Table AA.3,Natural Gas Processing,Onshore natural gas processing [98.230(a)(3)],,,,,,,,,,.787
Targa Midstream Services LLC - Railway Ranch Compressor Station,1011509,2015,Table AA.3,Natural Gas Processing,Onshore natural gas processing [98.230(a)(3)],,,,,,,,,,.7002
Targa Gas Processing LLC - High Plains HOPSON Gas Plant,1011510,2015,Table AA.3,Natural Gas Processing,Onshore natural gas processing [98.230(a)(3)],,,,,,,,,,.7523
Targa Badlands LLC - Little Missouri Gas Plant,1011524,2015,Table AA.3,Natural Gas Processing,Onshore natural gas processing [98.230(a)(3)],,,,,,,,,,.752398
Hawkville North East Central Delivery Point,1011530,2015,Table AA.3,Natural Gas Processing,Onshore natural gas processing [98.230(a)(3)],,,,,,,,,,.8375133
Lonestar Processing Facility,1011614,2015,Table AA.3,Natural Gas Processing,Onshore natural gas processing [98.230(a)(3)],,,,,,,,,,.76541
DEBEQUE GAS PROCESSING FACILITY,1011635,2015,Table AA.3,Natural Gas Processing,Onshore natural gas processing [98.230(a)(3)],,,,,,,,,,.941227
Silver Plant,1011670,2015,Table AA.3,Natural Gas Processing,Onshore natural gas processing [98.230(a)(3)],,,,,,,,,,.75414
Area 11B CGP,1011692,2015,Table AA.3,Natural Gas Processing,Onshore natural gas processing [98.230(a)(3)],,,,,,,,,,.7192
Munson Plant,1011695,2015,Table AA.3,Natural Gas Processing,Onshore natural gas processing [98.230(a)(3)],,,,,,,,,,.74663
Plaquemine NGL Fractionation Plant,1011705,2015,Table AA.3,Natural Gas Processing,Onshore natural gas processing [98.230(a)(3)],,,,,,,,,,0
MidMar East Gas Plant,1011722,2015,Table AA.3,Natural Gas Processing,Onshore natural gas processing [98.230(a)(3)],,,,,,,,,,.676066
EOG Resources  Inc. Smiley Hub,1011745,2015,Table AA.3,Natural Gas Processing,Onshore natural gas processing [98.230(a)(3)],,,,,,,,,,.67478
Kaplan Gas Plant,1011811,2015,Table AA.3,Natural Gas Processing,Onshore natural gas processing [98.230(a)(3)],,,,,,,,,,.93221
Reveille Gas Plant,1011870,2015,Table AA.3,Natural Gas Processing,Onshore natural gas processing [98.230(a)(3)],,,,,,,,,,.8059
Pecos Gas Processing Plant,1011930,2015,Table AA.3,Natural Gas Processing,Onshore natural gas processing [98.230(a)(3)],,,,,,,,,,.745568
James Lake Gas Plant,1011931,2015,Table AA.3,Natural Gas Processing,Onshore natural gas processing [98.230(a)(3)],,,,,,,,,,.70954
Dubberly Refrigeration Plant,1011948,2015,Table AA.3,Natural Gas Processing,Onshore natural gas processing [98.230(a)(3)],,,,,,,,,,.89947
KDB Central Treating Facility Plant,1011949,2015,Table AA.3,Natural Gas Processing,Onshore natural gas processing [98.230(a)(3)],,,,,,,,,,.8048554
Utica Condensate Stabilization Facility,1011967,2015,Table AA.3,Natural Gas Processing,Onshore natural gas processing [98.230(a)(3)],,,,,,,,,,0
Valley Wells Treater,1011981,2015,Table AA.3,Natural Gas Processing,Onshore natural gas processing [98.230(a)(3)],,,,,,,,,,.77052
Sterling Energy Investments LLC Centennial Gas Plant,1011986,2015,Table AA.3,Natural Gas Processing,Onshore natural gas processing [98.230(a)(3)],,,,,,,,,,.695
EOG Resources  Inc. Titan Hub,1011989,2015,Table AA.3,Natural Gas Processing,Onshore natural gas processing [98.230(a)(3)],,,,,,,,,,.68497
Blue Racer Midstream LLC - Berne Plant,1012023,2015,Table AA.3,Natural Gas Processing,Onshore natural gas processing [98.230(a)(3)],,,,,,,,,,.7961
50 Buttes Gas Plant,1012037,2015,Table AA.3,Natural Gas Processing,Onshore natural gas processing [98.230(a)(3)],,,,,,,,,,.743222
Haven Gas Plant,1012038,2015,Table AA.3,Natural Gas Processing,Onshore natural gas processing [98.230(a)(3)],,,,,,,,,,.9194
Kinder Morgan Treating  L.P.  Huntsville Gas Plant  Huntsville  TX,1012041,2015,Table AA.3,Natural Gas Processing,Onshore natural gas processing [98.230(a)(3)],,,,,,,,,,.78191
Leesville Cryogenic Processing Plant,1012049,2015,Table AA.3,Natural Gas Processing,Onshore natural gas processing [98.230(a)(3)],,,,,,,,,,.7844275
BECKVILLE GAS PROCESSING PLANT,1012062,2015,Table AA.3,Natural Gas Processing,Onshore natural gas processing [98.230(a)(3)],,,,,,,,,,.9079
Bernville Station,1000179,2015,Table AA.4,Natural Gas Transmission Compression,Onshore natural gas transmission compression [98.230(a)(4)],,,,,,,,,,
Shermans Dale Station,1000180,2015,Table AA.4,Natural Gas Transmission Compression,Onshore natural gas transmission compression [98.230(a)(4)],,,,,,,,,,
NGPL Station 198 Knoxville  IA,1000202,2015,Table AA.4,Natural Gas Transmission Compression,Onshore natural gas transmission compression [98.230(a)(4)],,,,,,,,,,
Burrillville,1000206,2015,Table AA.4,Natural Gas Transmission Compression,Onshore natural gas transmission compression [98.230(a)(4)],,,,,,,,,,
ALLIANCE PIPELINE  L.P.-FAIRMOUNT COMPRESSOR STATION,1000245,2015,Table AA.4,Natural Gas Transmission Compression,Onshore natural gas transmission compression [98.230(a)(4)],,,,,,,,,,
Armagh Compressor Station,1000315,2015,Table AA.4,Natural Gas Transmission Compression,Onshore natural gas transmission compression [98.230(a)(4)],,,,,,,,,,
Entriken Compressor Station,1000316,2015,Table AA.4,Natural Gas Transmission Compression,Onshore natural gas transmission compression [98.230(a)(4)],,,,,,,,,,
PG&E BURNEY COMPRESSOR STATION,1000439,2015,Table AA.4,Natural Gas Transmission Compression,Onshore natural gas transmission compression [98.230(a)(4)],,,,,,,,,,
ALLIANCE PIPELINE  L.P.-WIMBLEDON COMPRESSOR STATION,1001558,2015,Table AA.4,Natural Gas Transmission Compression,Onshore natural gas transmission compression [98.230(a)(4)],,,,,,,,,,
ALLIANCE PIPELINE L.P. - MANCHESTER,1001559,2015,Table AA.4,Natural Gas Transmission Compression,Onshore natural gas transmission compression [98.230(a)(4)],,,,,,,,,,
ALLIANCE PIPELINE LP,1001560,2015,Table AA.4,Natural Gas Transmission Compression,Onshore natural gas transmission compression [98.230(a)(4)],,,,,,,,,,
TGP Station 241 Lafayette,1001652,2015,Table AA.4,Natural Gas Transmission Compression,Onshore natural gas transmission compression [98.230(a)(4)],,,,,,,,,,
SNG Station 5211 Gwinville  MS,1001654,2015,Table AA.4,Natural Gas Transmission Compression,Onshore natural gas transmission compression [98.230(a)(4)],,,,,,,,,,
SNG Station 5122 Franklinton  LA,1001655,2015,Table AA.4,Natural Gas Transmission Compression,Onshore natural gas transmission compression [98.230(a)(4)],,,,,,,,,,
SNG Station 5222 Enterprise  MS,1001656,2015,Table AA.4,Natural Gas Transmission Compression,Onshore natural gas transmission compression [98.230(a)(4)],,,,,,,,,,
TGP Station 860 Centerville  TN,1001659,2015,Table AA.4,Natural Gas Transmission Compression,Onshore natural gas transmission compression [98.230(a)(4)],,,,,,,,,,
TGP Station 214 Carrollton,1001660,2015,Table AA.4,Natural Gas Transmission Compression,Onshore natural gas transmission compression [98.230(a)(4)],,,,,,,,,,
TGP Station 249 Carlisle,1001661,2015,Table AA.4,Natural Gas Transmission Compression,Onshore natural gas transmission compression [98.230(a)(4)],,,,,,,,,,
Sunray Compressor Station,1001670,2015,Table AA.4,Natural Gas Transmission Compression,Onshore natural gas transmission compression [98.230(a)(4)],,,,,,,,,,
Woodchopping Ridge,1001676,2015,Table AA.4,Natural Gas Transmission Compression,Onshore natural gas transmission compression [98.230(a)(4)],,,,,,,,,,
San Diego Gas and Electric -Moreno Station,1001719,2015,Table AA.4,Natural Gas Transmission Compression,Onshore natural gas transmission compression [98.230(a)(4)],,,,,,,,,,
NFGSC ELLISBURG STATION,1001829,2015,Table AA.4,Natural Gas Transmission Compression,Onshore natural gas transmission compression [98.230(a)(4)],,,,,,,,,,
TGP Station 209 CAMBRIDGE (Cumberland),1001846,2015,Table AA.4,Natural Gas Transmission Compression,Onshore natural gas transmission compression [98.230(a)(4)],,,,,,,,,,
TGP Station 63 Batesville  MS,1001848,2015,Table AA.4,Natural Gas Transmission Compression,Onshore natural gas transmission compression [98.230(a)(4)],,,,,,,,,,
SNG Station 5216 Bay Springs  MS,1001849,2015,Table AA.4,Natural Gas Transmission Compression,Onshore natural gas transmission compression [98.230(a)(4)],,,,,,,,,,
SNG Station 5110 Toca  LA,1001852,2015,Table AA.4,Natural Gas Transmission Compression,Onshore natural gas transmission compression [98.230(a)(4)],,,,,,,,,,
TGP Station 47 West Monroe  LA,1001853,2015,Table AA.4,Natural Gas Transmission Compression,Onshore natural gas transmission compression [98.230(a)(4)],,,,,,,,,,
SNG Station 5010 White Castle  LA,1001855,2015,Table AA.4,Natural Gas Transmission Compression,Onshore natural gas transmission compression [98.230(a)(4)],,,,,,,,,,
TGP Station 307 Pigeon (Kane),1001856,2015,Table AA.4,Natural Gas Transmission Compression,Onshore natural gas transmission compression [98.230(a)(4)],,,,,,,,,,
SNG Station 5130 Pearl River  MS,1001857,2015,Table AA.4,Natural Gas Transmission Compression,Onshore natural gas transmission compression [98.230(a)(4)],,,,,,,,,,
SNG Station 5277 Ocmulgee  GA,1001926,2015,Table AA.4,Natural Gas Transmission Compression,Onshore natural gas transmission compression [98.230(a)(4)],,,,,,,,,,
TGP Station 219 Mercer,1001928,2015,Table AA.4,Natural Gas Transmission Compression,Onshore natural gas transmission compression [98.230(a)(4)],,,,,,,,,,
EPNG Station 6786 Seligman  AZ,1001976,2015,Table AA.4,Natural Gas Transmission Compression,Onshore natural gas transmission compression [98.230(a)(4)],,,,,,,,,,
EPNG Station 6312 Cornudas  TX,1001981,2015,Table AA.4,Natural Gas Transmission Compression,Onshore natural gas transmission compression [98.230(a)(4)],,,,,,,,,,
EPNG Station 6521 Eunice A  NM,1001982,2015,Table AA.4,Natural Gas Transmission Compression,Onshore natural gas transmission compression [98.230(a)(4)],,,,,,,,,,
EPNG Station 6735 Hackberry  AZ,1001986,2015,Table AA.4,Natural Gas Transmission Compression,Onshore natural gas transmission compression [98.230(a)(4)],,,,,,,,,,
EPNG Station 6335 Hueco  TX,1001988,2015,Table AA.4,Natural Gas Transmission Compression,Onshore natural gas transmission compression [98.230(a)(4)],,,,,,,,,,
EPNG Station 6339 Keystone  TX,1001990,2015,Table AA.4,Natural Gas Transmission Compression,Onshore natural gas transmission compression [98.230(a)(4)],,,,,,,,,,
CIG Station 5560 Kit Carson  CO,1001994,2015,Table AA.4,Natural Gas Transmission Compression,Onshore natural gas transmission compression [98.230(a)(4)],,,,,,,,,,
EPNG Station 6750 Leupp  AZ,1001996,2015,Table AA.4,Natural Gas Transmission Compression,Onshore natural gas transmission compression [98.230(a)(4)],,,,,,,,,,
EPNG Station 6741 Alamo Lake  AZ,1001997,2015,Table AA.4,Natural Gas Transmission Compression,Onshore natural gas transmission compression [98.230(a)(4)],,,,,,,,,,
Beaver Compressor Station,1002006,2015,Table AA.4,Natural Gas Transmission Compression,Onshore natural gas transmission compression [98.230(a)(4)],,,,,,,,,,
CIG Station 5690 Muddy Gap  WY,1002015,2015,Table AA.4,Natural Gas Transmission Compression,Onshore natural gas transmission compression [98.230(a)(4)],,,,,,,,,,
TGP Station 40 Natchitoches  LA,1002018,2015,Table AA.4,Natural Gas Transmission Compression,Onshore natural gas transmission compression [98.230(a)(4)],,,,,,,,,,
Allen,1002050,2015,Table AA.4,Natural Gas Transmission Compression,Onshore natural gas transmission compression [98.230(a)(4)],,,,,,,,,,
EPNG Station 1775 Mojave Topock  AZ,1002060,2015,Table AA.4,Natural Gas Transmission Compression,Onshore natural gas transmission compression [98.230(a)(4)],,,,,,,,,,
CIG Station 5950 Watkins  CO,1002061,2015,Table AA.4,Natural Gas Transmission Compression,Onshore natural gas transmission compression [98.230(a)(4)],,,,,,,,,,
EPNG Station 6796 Window Rock  AZ,1002064,2015,Table AA.4,Natural Gas Transmission Compression,Onshore natural gas transmission compression [98.230(a)(4)],,,,,,,,,,
NGPL Station 109 Harper  IA,1002075,2015,Table AA.4,Natural Gas Transmission Compression,Onshore natural gas transmission compression [98.230(a)(4)],,,,,,,,,,
Mexico Compressor Station,1002077,2015,Table AA.4,Natural Gas Transmission Compression,Onshore natural gas transmission compression [98.230(a)(4)],,,,,,,,,,
Wamsutter Compressor Station,1002079,2015,Table AA.4,Natural Gas Transmission Compression,Onshore natural gas transmission compression [98.230(a)(4)],,,,,,,,,,
Bainbridge Compressor Station,1002087,2015,Table AA.4,Natural Gas Transmission Compression,Onshore natural gas transmission compression [98.230(a)(4)],,,,,,,,,,
Blue Mound Compressor Station,1002092,2015,Table AA.4,Natural Gas Transmission Compression,Onshore natural gas transmission compression [98.230(a)(4)],,,,,,,,,,
Lamar Compressor Station,1002097,2015,Table AA.4,Natural Gas Transmission Compression,Onshore natural gas transmission compression [98.230(a)(4)],,,,,,,,,,
EPNG Station 6210 Bondad,1002116,2015,Table AA.4,Natural Gas Transmission Compression,Onshore natural gas transmission compression [98.230(a)(4)],,,,,,,,,,
EPNG Station 6755 Navajo  AZ,1002117,2015,Table AA.4,Natural Gas Transmission Compression,Onshore natural gas transmission compression [98.230(a)(4)],,,,,,,,,,
EPNG Station 6560 Pecos River  NM,1002118,2015,Table AA.4,Natural Gas Transmission Compression,Onshore natural gas transmission compression [98.230(a)(4)],,,,,,,,,,
CIG Station 5850 Cheyenne  CO,1002127,2015,Table AA.4,Natural Gas Transmission Compression,Onshore natural gas transmission compression [98.230(a)(4)],,,,,,,,,,
WIC Station 7950 Douglas  WY,1002133,2015,Table AA.4,Natural Gas Transmission Compression,Onshore natural gas transmission compression [98.230(a)(4)],,,,,,,,,,
CIG Station 5440 Mocane  OK,1002175,2015,Table AA.4,Natural Gas Transmission Compression,Onshore natural gas transmission compression [98.230(a)(4)],,,,,,,,,,
CIG Station 5670 Laramie  WY,1002193,2015,Table AA.4,Natural Gas Transmission Compression,Onshore natural gas transmission compression [98.230(a)(4)],,,,,,,,,,
EPNG Station 6793 Wenden  AZ,1002196,2015,Table AA.4,Natural Gas Transmission Compression,Onshore natural gas transmission compression [98.230(a)(4)],,,,,,,,,,
Beatrice Compressor Station,1002343,2015,Table AA.4,Natural Gas Transmission Compression,Onshore natural gas transmission compression [98.230(a)(4)],,,,,,,,,,
NGPL Station 308  Biggers  AR,1002376,2015,Table AA.4,Natural Gas Transmission Compression,Onshore natural gas transmission compression [98.230(a)(4)],,,,,,,,,,
Compressor Station 601,1002406,2015,Table AA.4,Natural Gas Transmission Compression,Onshore natural gas transmission compression [98.230(a)(4)],,,,,,,,,,
MEP Station 3 Perryville  LA,1002409,2015,Table AA.4,Natural Gas Transmission Compression,Onshore natural gas transmission compression [98.230(a)(4)],,,,,,,,,,
NGPL Station 309  Marble Hill  MO,1002412,2015,Table AA.4,Natural Gas Transmission Compression,Onshore natural gas transmission compression [98.230(a)(4)],,,,,,,,,,
NGPL Station 107 Emerson  IA,1002413,2015,Table AA.4,Natural Gas Transmission Compression,Onshore natural gas transmission compression [98.230(a)(4)],,,,,,,,,,
NGPL Station 311 Hammond  IL,1002419,2015,Table AA.4,Natural Gas Transmission Compression,Onshore natural gas transmission compression [98.230(a)(4)],,,,,,,,,,
Bertrand Compressor Station,1002444,2015,Table AA.4,Natural Gas Transmission Compression,Onshore natural gas transmission compression [98.230(a)(4)],,,,,,,,,,
NGPL Station 108 Truro  IA,1002456,2015,Table AA.4,Natural Gas Transmission Compression,Onshore natural gas transmission compression [98.230(a)(4)],,,,,,,,,,
WELTY COMPRESSOR STATION,1002467,2015,Table AA.4,Natural Gas Transmission Compression,Onshore natural gas transmission compression [98.230(a)(4)],,,,,,,,,,
COX CITY GAS PROCESSING PLT,1002472,2015,Table AA.4,Natural Gas Transmission Compression,Onshore natural gas transmission compression [98.230(a)(4)],,,,,,,,,,
Danville,1002580,2015,Table AA.4,Natural Gas Transmission Compression,Onshore natural gas transmission compression [98.230(a)(4)],,,,,,,,,,
Steele City Compressor Station,1002642,2015,Table AA.4,Natural Gas Transmission Compression,Onshore natural gas transmission compression [98.230(a)(4)],,,,,,,,,,
TRANSCO STATION 515,1002711,2015,Table AA.4,Natural Gas Transmission Compression,Onshore natural gas transmission compression [98.230(a)(4)],,,,,,,,,,
NORTHERN NATURAL GAS CO-OGDEN COMPRESSOR,1002738,2015,Table AA.4,Natural Gas Transmission Compression,Onshore natural gas transmission compression [98.230(a)(4)],,,,,,,,,,
NORTHERN NATURAL GAS COMPANY-PALMYRA,1002739,2015,Table AA.4,Natural Gas Transmission Compression,Onshore natural gas transmission compression [98.230(a)(4)],,,,,,,,,,
NGPL Station 310 Centralia  IL,1002742,2015,Table AA.4,Natural Gas Transmission Compression,Onshore natural gas transmission compression [98.230(a)(4)],,,,,,,,,,
NGPL Station 104 Great Bend  KS,1002743,2015,Table AA.4,Natural Gas Transmission Compression,Onshore natural gas transmission compression [98.230(a)(4)],,,,,,,,,,
NGPL Station 103  Minneola  KS,1002745,2015,Table AA.4,Natural Gas Transmission Compression,Onshore natural gas transmission compression [98.230(a)(4)],,,,,,,,,,
KERN RIVER GAS TRANSMISSION COMPANY: VEYO COMPRESSOR STATION,1002760,2015,Table AA.4,Natural Gas Transmission Compression,Onshore natural gas transmission compression [98.230(a)(4)],,,,,,,,,,
KERN RIVER GAS TRANSMISSION COMPANY: MUDDY CREEK COMPRESSOR STATION,1002761,2015,Table AA.4,Natural Gas Transmission Compression,Onshore natural gas transmission compression [98.230(a)(4)],,,,,,,,,,
KERN RIVER GAS TRANSMISSION COMPANY: GOODSPRINGS COMPRESSOR STATION,1002762,2015,Table AA.4,Natural Gas Transmission Compression,Onshore natural gas transmission compression [98.230(a)(4)],,,,,,,,,,
KERN RIVER GAS TRANSMISSION COMPANY: DRY LAKE COMPRESSOR STATION,1002763,2015,Table AA.4,Natural Gas Transmission Compression,Onshore natural gas transmission compression [98.230(a)(4)],,,,,,,,,,
Arlington Compressor Station,1002772,2015,Table AA.4,Natural Gas Transmission Compression,Onshore natural gas transmission compression [98.230(a)(4)],,,,,,,,,,
NGPL Station 201 Storage  Herscher  IL,1002774,2015,Table AA.4,Natural Gas Transmission Compression,Onshore natural gas transmission compression [98.230(a)(4)],,,,,,,,,,
FLORIDA GAS TRANSMISSION COMPANY - BROOKER,1002780,2015,Table AA.4,Natural Gas Transmission Compression,Onshore natural gas transmission compression [98.230(a)(4)],,,,,,,,,,
FLORIDA GAS TRANSMISSION COMPANY - CARRYVILLE,1002781,2015,Table AA.4,Natural Gas Transmission Compression,Onshore natural gas transmission compression [98.230(a)(4)],,,,,,,,,,
FLORIDA GAS TRANSMISSION COMPANY - FRANKLINTON,1002784,2015,Table AA.4,Natural Gas Transmission Compression,Onshore natural gas transmission compression [98.230(a)(4)],,,,,,,,,,
NORTHERN NATURAL GAS COMPANY - SUBLETTE,1002808,2015,Table AA.4,Natural Gas Transmission Compression,Onshore natural gas transmission compression [98.230(a)(4)],,,,,,,,,,
NGPL Station 802  Paris  TX,1002811,2015,Table AA.4,Natural Gas Transmission Compression,Onshore natural gas transmission compression [98.230(a)(4)],,,,,,,,,,
NGPL Station 106 Beatrice  NE,1002815,2015,Table AA.4,Natural Gas Transmission Compression,Onshore natural gas transmission compression [98.230(a)(4)],,,,,,,,,,
Casper Gas Plant,1002816,2015,Table AA.4,Natural Gas Transmission Compression,Onshore natural gas transmission compression [98.230(a)(4)],,,,,,,,,,
FLORIDA GAS TRANSMISSION COMPANY - LECANTO,1002825,2015,Table AA.4,Natural Gas Transmission Compression,Onshore natural gas transmission compression [98.230(a)(4)],,,,,,,,,,
FLORIDA GAS TRANSMISSION COMPANY - Mt VERNON,1002827,2015,Table AA.4,Natural Gas Transmission Compression,Onshore natural gas transmission compression [98.230(a)(4)],,,,,,,,,,
Southern Star -Hugoton Compressor Station,1002833,2015,Table AA.4,Natural Gas Transmission Compression,Onshore natural gas transmission compression [98.230(a)(4)],,,,,,,,,,
FLORIDA GAS TRANSMISSION COMPANY - MUNSON,1002837,2015,Table AA.4,Natural Gas Transmission Compression,Onshore natural gas transmission compression [98.230(a)(4)],,,,,,,,,,
FLORIDA GAS TRANSMISSION COMPANY - ORLANDO,1002838,2015,Table AA.4,Natural Gas Transmission Compression,Onshore natural gas transmission compression [98.230(a)(4)],,,,,,,,,,
NGPL Station 206 Storage  St Elmo  IL,1002839,2015,Table AA.4,Natural Gas Transmission Compression,Onshore natural gas transmission compression [98.230(a)(4)],,,,,,,,,,
FLORIDA GAS TRANSMISSION COMPANY - PERRY STATION,1002841,2015,Table AA.4,Natural Gas Transmission Compression,Onshore natural gas transmission compression [98.230(a)(4)],,,,,,,,,,
FLORIDA GAS TRANSMISSION COMPANY - PORT BARRE,1002842,2015,Table AA.4,Natural Gas Transmission Compression,Onshore natural gas transmission compression [98.230(a)(4)],,,,,,,,,,
FLORIDA GAS TRANSMISSION COMPANY - QUINCY,1002844,2015,Table AA.4,Natural Gas Transmission Compression,Onshore natural gas transmission compression [98.230(a)(4)],,,,,,,,,,
NGPL Station 342 Johnson's Bayou  LA,1002847,2015,Table AA.4,Natural Gas Transmission Compression,Onshore natural gas transmission compression [98.230(a)(4)],,,,,,,,,,
MEP Station 4 Vicksburg  MS,1002849,2015,Table AA.4,Natural Gas Transmission Compression,Onshore natural gas transmission compression [98.230(a)(4)],,,,,,,,,,
Meeker Compressor Station,1002912,2015,Table AA.4,Natural Gas Transmission Compression,Onshore natural gas transmission compression [98.230(a)(4)],,,,,,,,,,
NGPL Station 105 Glasco  KS,1002917,2015,Table AA.4,Natural Gas Transmission Compression,Onshore natural gas transmission compression [98.230(a)(4)],,,,,,,,,,
NGPL Station 307  Searcy  AR,1002918,2015,Table AA.4,Natural Gas Transmission Compression,Onshore natural gas transmission compression [98.230(a)(4)],,,,,,,,,,
KMTP Station 553 Katy  TX,1002923,2015,Table AA.4,Natural Gas Transmission Compression,Onshore natural gas transmission compression [98.230(a)(4)],,,,,,,,,,
NGPL Station 110 Geneseo  IL,1002930,2015,Table AA.4,Natural Gas Transmission Compression,Onshore natural gas transmission compression [98.230(a)(4)],,,,,,,,,,
MEP Atlanta Station 2  TX,1002931,2015,Table AA.4,Natural Gas Transmission Compression,Onshore natural gas transmission compression [98.230(a)(4)],,,,,,,,,,
NGPL Station 801  Ratliff City  OK,1002972,2015,Table AA.4,Natural Gas Transmission Compression,Onshore natural gas transmission compression [98.230(a)(4)],,,,,,,,,,
PANHANDLE EASTERN PIPE LINE CO - CENTRALIA,1003062,2015,Table AA.4,Natural Gas Transmission Compression,Onshore natural gas transmission compression [98.230(a)(4)],,,,,,,,,,
PANHANDLE EASTERN PIPE LINE CO - HAVEN,1003064,2015,Table AA.4,Natural Gas Transmission Compression,Onshore natural gas transmission compression [98.230(a)(4)],,,,,,,,,,
PANHANDLE EASTERN PIPE LINE CO - LIBERAL,1003068,2015,Table AA.4,Natural Gas Transmission Compression,Onshore natural gas transmission compression [98.230(a)(4)],,,,,,,,,,
PANHANDLE EASTERN PIPE LINE CO - LOUISBURG,1003069,2015,Table AA.4,Natural Gas Transmission Compression,Onshore natural gas transmission compression [98.230(a)(4)],,,,,,,,,,
PANHANDLE EASTERN PIPE LINE CO - ZIONSVILLE,1003070,2015,Table AA.4,Natural Gas Transmission Compression,Onshore natural gas transmission compression [98.230(a)(4)],,,,,,,,,,
TRUNKLINE GAS CO - JOHNSONVILLE,1003071,2015,Table AA.4,Natural Gas Transmission Compression,Onshore natural gas transmission compression [98.230(a)(4)],,,,,,,,,,
TRUNKLINE GAS CO - JOPPA,1003072,2015,Table AA.4,Natural Gas Transmission Compression,Onshore natural gas transmission compression [98.230(a)(4)],,,,,,,,,,
TRUNKLINE GAS CO - NORTH JUDSON,1003074,2015,Table AA.4,Natural Gas Transmission Compression,Onshore natural gas transmission compression [98.230(a)(4)],,,,,,,,,,
