EF_W_FACILITY_OVERVIEW.FACILITY_NAME,EF_W_FACILITY_OVERVIEW.FACILITY_ID,EF_W_FACILITY_OVERVIEW.REPORTING_YEAR,EF_W_FACILITY_OVERVIEW.TABLE_NUM,EF_W_FACILITY_OVERVIEW.TABLE_DESC,EF_W_FACILITY_OVERVIEW.INDUSTRY_SEGMENT,EF_W_FACILITY_OVERVIEW.BASIN_ASSOCIATED_WITH_FACILITY,EF_W_FACILITY_OVERVIEW.GAS_PROD_CAL_YEAR_FROM_WELLS,EF_W_FACILITY_OVERVIEW.GAS_PROD_CAL_YEAR_FOR_SALES,EF_W_FACILITY_OVERVIEW.OIL_PROD_CAL_YEAR_FOR_SALES,EF_W_FACILITY_OVERVIEW.SUB_BASIN_COUNTY,EF_W_FACILITY_OVERVIEW.SUB_BASIN_FORMATION_TYPE,EF_W_FACILITY_OVERVIEW.SUB_BASIN_IDENTIFIER,EF_W_FACILITY_OVERVIEW.GAS_OIL_WELL_RATIO,EF_W_FACILITY_OVERVIEW.WELL_PRODUCING_END_OF_YEAR,EF_W_FACILITY_OVERVIEW.CH4_AVERAGE_MOLE_FRACTION
Chevron MCA 350 South Oklahoma Folded Belt,1008102,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],350 - South Oklahoma Folded Belt,4517624,4517624,559627.89,,,,,,
ConocoPhillips Alaska Inc - KRU-ALP Fields,1008111,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],890 - Arctic Coastal Plains Province,0,0,59824676,,,,,,
MurphyE&P-220,1008113,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],220 - Gulf Coast Basin (LA  TX),33201700,32431159,23863693.215,,,,,,
EOG Resources  Inc. 415 Strawn basin,1008114,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],415 - Strawn Basin,67291766.6,64879291.9,6946.2,,,,,,
XTO Energy Inc 160A Appalachian E Overthrust,1008116,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],160A - Appalachian Basin (Eastern Overthrust Area),144240067,143363543.4,78624.65,,,,,,
Denbury Onshore LLC 220 Gulf Coast,1008123,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],220 - Gulf Coast Basin (LA  TX),4224341.07,3269233.9,7524298.5,,,,,,
EOG Resources  Inc. 260 East Texas basin,1008128,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],260 - East Texas Basin,23476853.2,23062554.9,420407.7,,,,,,
Ovintiv USA Inc. 350.South Oklahoma Folded Belt,1008134,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],350 - South Oklahoma Folded Belt,75649731.4,75375316.1,2756915.8,,,,,,
North Shore E&P Sand Wash,1008136,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],535 - Green River Basin,168264.96,1122126.03,759.08,,,,,,
Oxy Permian Basin - 430,1008141,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],430 - Permian Basin,168748030,158454633,55589684.7345,,,,,,
